"","State.UTs_Code","District_Code","CD.Block_Code","Town.Village_Code","Ward_Code","EB_Code","State.UTs_Name","District_Name","Level","Name","Total.Rural.Urban","No.of.Households","Total.Population.Person","Total.Population.Male","Total.Population.Female","Population.in.the.age.group.0.6.Person","Population.in.the.age.group.0.6.Male","Population.in.the.age.group.0.6.Female","Scheduled.Castes.population.Person","Scheduled.Castes.population.Male","Scheduled.Castes.population.Female","Scheduled.Tribes.population.Person","Scheduled.Tribes.population.Male","Scheduled.Tribes.population.Female","Literates.Population.Person","Literates.Population.Male","Literates.Population.Female","Illiterate.Persons","Illiterate.Male","Illiterate.Female","Total.Worker.Population.Person","Total.Worker.Population.Male","Total.Worker.Population.Female","Main.Working.Population.Person","Main.Working.Population.Male","Main.Working.Population.Female","Main.Cultivator.Population.Person","Main.Cultivator.Population.Male","Main.Cultivator.Population.Female","Main.Agricultural.Labourers.Population.Person","Main.Agricultural.Labourers.Population.Male","Main.Agricultural.Labourers.Population.Female","Main.Household.Industries.Population.Person","Main.Household.Industries.Population.Male","Main.Household.Industries.Population.Female","Main.Other.Workers.Population.Person","Main.Other.Workers.Population.Male","Main.Other.Workers.Population.Female","Marginal.Worker.Population.Person","Marginal.Worker.Population.Male","Marginal.Worker.Population.Female","Marginal.Cultivator.Population.Person","Marginal.Cultivator.Population.Male","Marginal.Cultivator.Population.Female","Marginal.Agriculture.Labourers.Population.Person","Marginal.Agriculture.Labourers.Population.Male","Marginal.Agriculture.Labourers.Population.Female","Marginal.Household.Industries.Population.Person","Marginal.Household.Industries.Population.Male","Marginal.Household.Industries.Population.Female","Marginal.Other.Workers.Population.Person","Marginal.Other.Workers.Population.Male","Marginal.Other.Workers.Population.Female","Marginal.Worker.Population.3_6.Person","Marginal.Worker.Population.3_6.Male","Marginal.Worker.Population.3_6.Female","Marginal.Cultivator.Population.3_6.Person","Marginal.Cultivator.Population.3_6.Male","Marginal.Cultivator.Population.3_6.Female","Marginal.Agriculture.Labourers.Population.3_6.Person","Marginal.Agriculture.Labourers.Population.3_6.Male","Marginal.Agriculture.Labourers.Population.3_6.Female","Marginal.Household.Industries.Population.3_6.Person","Marginal.Household.Industries.Population.3_6.Male","Marginal.Household.Industries.Population.3.6.Female","Marginal.Other.Workers.Population.Person.3_6.Person","Marginal.Other.Workers.Population.Person.3_6.Male","Marginal.Other.Workers.Population.Person.3_6.Female","Marginal.Worker.Population.0_3.Person","Marginal.Worker.Population.0_3.Male","Marginal.Worker.Population.0_3_Female","Marginal.Cultivator.Population.0_3.Person","Marginal.Cultivator.Population.0_3.Male","Marginal.Cultivator.Population.0_3_Female","Marginal.Agriculture.Labourers.Population.0_3.Person","Marginal.Agriculture.Labourers.Population.0_3.Male","Marginal.Agriculture.Labourers.Population.0_3.Female","Marginal.Household.Industries.Population.0_3.Person","Marginal.Household.Industries.Population.0_3.Male","Marginal.Household.Industries.Population.0_3.Female","Marginal.Other.Workers.Population.0_3.Person","Marginal.Other.Workers.Population.0_3.Male","Marginal.Other.Workers.Population.0_3.Female","Non.Working.Population.Person","Non.Working.Population.Male","Non.Working.Population.Female","GenderEqualityRatio","BackwardClassRatio","FemaleLiteracyRatio","UnemployedRatio","FulltimeWorkerRatio","ChildLabourRatio","MarginalWorkerRatio","Cluster"
"4",29,572,110,612749,0,0,"KARNATAKA","Bangalore","VILLAGE","Gopalapura","Rural",232,1026,488,538,92,50,42,418,183,235,25,12,13,730,377,353,296,111,185,354,292,62,347,288,59,52,52,0,87,55,32,6,4,2,202,177,25,7,4,3,3,3,0,0,0,0,0,0,0,4,1,3,5,4,1,3,3,0,0,0,0,0,0,0,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,672,196,476,0.518783542039356,0.4317738791423,0.344054580896686,0.654970760233918,0.676413255360624,0.0125223613595707,0.01364522417154,"4"
"5",29,572,110,612750,0,0,"KARNATAKA","Bangalore","VILLAGE","Kukkanahalli","Rural",205,935,483,452,105,60,45,362,191,171,7,4,3,615,362,253,320,121,199,324,267,57,309,256,53,94,88,6,80,49,31,0,0,0,135,119,16,15,11,4,0,0,0,11,8,3,0,0,0,4,3,1,15,11,4,0,0,0,11,8,3,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,216,395,0.477884615384615,0.394652406417112,0.270588235294118,0.653475935828877,0.66096256684492,0.0288461538461538,0.0320855614973262,"4"
"6",29,572,110,612751,0,0,"KARNATAKA","Bangalore","VILLAGE","Shamabhattara Palya","Rural",58,297,163,134,19,12,7,0,0,0,0,0,0,198,119,79,99,44,55,143,105,38,132,100,32,86,58,28,1,1,0,0,0,0,45,41,4,11,5,6,1,1,0,6,1,5,2,1,1,2,2,0,9,4,5,1,1,0,6,1,5,0,0,0,2,2,0,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,154,58,96,0.44620253164557,0,0.265993265993266,0.518518518518518,0.888888888888889,0.069620253164557,0.0740740740740741,"4"
"7",29,572,110,612752,0,0,"KARNATAKA","Bangalore","VILLAGE","Totagere","Rural",212,1165,662,503,107,53,54,379,172,207,0,0,0,840,544,296,325,118,207,369,308,61,317,265,52,135,118,17,11,6,5,3,1,2,168,140,28,52,43,9,15,12,3,12,12,0,0,0,0,25,19,6,51,42,9,15,12,3,12,12,0,0,0,0,24,18,6,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,796,354,442,0.437893081761006,0.325321888412017,0.254077253218884,0.683261802575107,0.544206008583691,0.0817610062893082,0.0892703862660944,"4"
"8",29,572,110,612753,0,0,"KARNATAKA","Bangalore","VILLAGE","Bommasettihalli","Rural",75,281,139,142,27,13,14,97,47,50,0,0,0,178,100,78,103,39,64,99,76,23,92,74,18,24,22,2,34,22,12,3,2,1,31,28,3,7,2,5,1,1,0,1,0,1,0,0,0,5,1,4,7,2,5,1,1,0,1,0,1,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,63,119,0.506493506493506,0.345195729537367,0.277580071174377,0.647686832740214,0.654804270462633,0.0454545454545455,0.0498220640569395,"4"
"9",29,572,110,612754,0,0,"KARNATAKA","Bangalore","VILLAGE","Syadamipalya","Rural",35,162,84,78,14,10,4,55,25,30,0,0,0,112,63,49,50,21,29,91,58,33,75,46,29,39,23,16,2,1,1,0,0,0,34,22,12,16,12,4,0,0,0,0,0,0,0,0,0,16,12,4,16,12,4,0,0,0,0,0,0,0,0,0,16,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,26,45,0.465909090909091,0.339506172839506,0.302469135802469,0.438271604938272,0.925925925925926,0.181818181818182,0.197530864197531,"4"
"10",29,572,110,612755,0,0,"KARNATAKA","Bangalore","VILLAGE","Bethanagere","Rural",217,977,504,473,77,36,41,161,87,74,2,2,0,632,371,261,345,133,212,435,326,109,319,240,79,173,127,46,78,60,18,9,6,3,59,47,12,116,86,30,6,2,4,1,1,0,1,0,1,108,83,25,116,86,30,6,2,4,1,1,0,1,0,1,108,83,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,178,364,0.487666034155598,0.166837256908905,0.267144319344933,0.554759467758444,0.653019447287615,0.22011385199241,0.237461617195496,"4"
"11",29,572,110,612756,0,0,"KARNATAKA","Bangalore","VILLAGE","Rampalya","Rural",58,233,124,109,23,16,7,3,2,1,0,0,0,167,98,69,66,26,40,156,79,77,143,71,72,116,51,65,10,5,5,0,0,0,17,15,2,13,8,5,11,6,5,0,0,0,0,0,0,2,2,0,13,8,5,11,6,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,45,32,0.453125,0.0128755364806867,0.296137339055794,0.330472103004292,1.2274678111588,0.1015625,0.111587982832618,"2"
"12",29,572,110,612757,0,0,"KARNATAKA","Bangalore","VILLAGE","Huskur","Rural",324,1320,637,683,118,55,63,329,141,188,13,9,4,889,488,401,431,149,282,483,368,115,404,319,85,109,98,11,57,40,17,15,14,1,223,167,56,79,49,30,18,12,6,25,15,10,1,1,0,35,21,14,73,47,26,15,11,4,23,15,8,1,1,0,34,20,14,6,2,4,3,1,2,2,0,2,0,0,0,1,1,0,837,269,568,0.518776077885953,0.259090909090909,0.303787878787879,0.634090909090909,0.612121212121212,0.109874826147427,0.11969696969697,"4"
"13",29,572,110,612758,0,0,"KARNATAKA","Bangalore","VILLAGE","Agrahara Palya","Rural",45,225,124,101,24,17,7,0,0,0,0,0,0,170,95,75,55,29,26,89,76,13,87,74,13,64,63,1,3,0,3,0,0,0,20,11,9,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,48,88,0.433734939759036,0,0.333333333333333,0.604444444444444,0.773333333333333,0.0160642570281124,0.0177777777777778,"4"
