State/UTs_Code,District_Code,"CD Block_Code",Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,"No of Households","Total Population Person","Total Population Male","Total Population Female","Population in the age group 0-6 Person","Population in the age group 0-6 Male","Population in the age group 0-6 Female","Scheduled Castes population Person","Scheduled Castes population Male","Scheduled Castes population Female","Scheduled Tribes population Person","Scheduled Tribes population Male","Scheduled Tribes population Female","Literates Population Person","Literates Population Male","Literates Population Female","Illiterate Persons","Illiterate Male","Illiterate Female","Total Worker Population Person","Total Worker Population Male","Total Worker Population Female","Main Working Population Person","Main Working Population Male","Main Working Population Female","Main Cultivator Population Person","Main Cultivator Population Male","Main Cultivator Population Female","Main Agricultural Labourers Population Person","Main Agricultural Labourers Population Male","Main Agricultural Labourers Population Female","Main Household Industries Population Person","Main Household Industries Population Male","Main Household Industries Population Female","Main Other Workers Population Person","Main Other Workers Population Male","Main Other Workers Population Female","Marginal Worker Population Person","Marginal Worker Population Male","Marginal Worker Population Female","Marginal Cultivator Population Person","Marginal Cultivator Population Male","Marginal Cultivator Population Female","Marginal Agriculture Labourers Population Person","Marginal Agriculture Labourers Population Male","Marginal Agriculture Labourers Population Female","Marginal Household Industries Population Person","Marginal Household Industries Population Male","Marginal Household Industries Population Female","Marginal Other Workers Population Person","Marginal Other Workers Population Male","Marginal Other Workers Population Female","Marginal Worker Population 3_6 Person","Marginal Worker Population 3_6 Male","Marginal Worker Population 3_6 Female","Marginal Cultivator Population 3_6 Person","Marginal Cultivator Population 3_6 Male","Marginal Cultivator Population 3_6 Female","Marginal Agriculture Labourers Population 3_6 Person","Marginal Agriculture Labourers Population 3_6 Male","Marginal Agriculture Labourers Population 3_6 Female","Marginal Household Industries Population 3_6 Person","Marginal Household Industries Population 3_6 Male","Marginal Household Industries Population 3-6 Female","Marginal Other Workers Population Person 3_6 Person","Marginal Other Workers Population Person 3_6 Male","Marginal Other Workers Population Person 3_6 Female","Marginal Worker Population 0_3 Person","Marginal Worker Population 0_3 Male","Marginal Worker Population 0_3_Female","Marginal Cultivator Population 0_3 Person","Marginal Cultivator Population 0_3 Male","Marginal Cultivator Population 0_3_Female","Marginal Agriculture Labourers Population 0_3 Person","Marginal Agriculture Labourers Population 0_3 Male","Marginal Agriculture Labourers Population 0_3 Female","Marginal Household Industries Population 0_3 Person","Marginal Household Industries Population 0_3 Male","Marginal Household Industries Population 0_3 Female","Marginal Other Workers Population 0_3 Person","Marginal Other Workers Population 0_3 Male","Marginal Other Workers Population 0_3 Female","Non Working Population Person","Non Working Population Male","Non Working Population Female"
29,572,0110,000000,0000,000000,KARNATAKA,Bangalore,"CD BLOCK","Bangalore North",Total,85722,352420,185978,166442,40487,20837,19650,66815,33896,32919,12516,6482,6034,251933,143379,108554,100487,42599,57888,154962,114416,40546,137405,104365,33040,19436,15463,3973,10296,6292,4004,3045,2044,1001,104628,80566,24062,17557,10051,7506,1793,874,919,3550,1810,1740,694,320,374,11520,7047,4473,15454,8823,6631,1664,832,832,3229,1659,1570,569,254,315,9992,6078,3914,2103,1228,875,129,42,87,321,151,170,125,66,59,1528,969,559,197458,71562,125896
29,572,0110,000000,0000,000000,KARNATAKA,Bangalore,"CD BLOCK","Bangalore North",Rural,64913,270195,141675,128520,31008,15987,15021,56414,28560,27854,10490,5406,5084,188782,107281,81501,81413,34394,47019,118985,86970,32015,103901,78349,25552,19017,15187,3830,9972,6044,3928,2654,1784,870,72258,55334,16924,15084,8621,6463,1629,751,878,3355,1671,1684,578,282,296,9522,5917,3605,13123,7455,5668,1502,709,793,3042,1523,1519,471,222,249,8108,5001,3107,1961,1166,795,127,42,85,313,148,165,107,60,47,1414,916,498,151210,54705,96505
29,572,0110,000000,0000,000000,KARNATAKA,Bangalore,"CD BLOCK","Bangalore North",Urban,20809,82225,44303,37922,9479,4850,4629,10401,5336,5065,2026,1076,950,63151,36098,27053,19074,8205,10869,35977,27446,8531,33504,26016,7488,419,276,143,324,248,76,391,260,131,32370,25232,7138,2473,1430,1043,164,123,41,195,139,56,116,38,78,1998,1130,868,2331,1368,963,162,123,39,187,136,51,98,32,66,1884,1077,807,142,62,80,2,0,2,8,3,5,18,6,12,114,53,61,46248,16857,29391
29,572,0110,612749,0000,000000,KARNATAKA,Bangalore,VILLAGE,Gopalapura,Rural,232,1026,488,538,92,50,42,418,183,235,25,12,13,730,377,353,296,111,185,354,292,62,347,288,59,52,52,0,87,55,32,6,4,2,202,177,25,7,4,3,3,3,0,0,0,0,0,0,0,4,1,3,5,4,1,3,3,0,0,0,0,0,0,0,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,672,196,476
29,572,0110,612750,0000,000000,KARNATAKA,Bangalore,VILLAGE,Kukkanahalli,Rural,205,935,483,452,105,60,45,362,191,171,7,4,3,615,362,253,320,121,199,324,267,57,309,256,53,94,88,6,80,49,31,0,0,0,135,119,16,15,11,4,0,0,0,11,8,3,0,0,0,4,3,1,15,11,4,0,0,0,11,8,3,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,216,395
29,572,0110,612751,0000,000000,KARNATAKA,Bangalore,VILLAGE,"Shamabhattara Palya",Rural,58,297,163,134,19,12,7,0,0,0,0,0,0,198,119,79,99,44,55,143,105,38,132,100,32,86,58,28,1,1,0,0,0,0,45,41,4,11,5,6,1,1,0,6,1,5,2,1,1,2,2,0,9,4,5,1,1,0,6,1,5,0,0,0,2,2,0,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,154,58,96
29,572,0110,612752,0000,000000,KARNATAKA,Bangalore,VILLAGE,Totagere,Rural,212,1165,662,503,107,53,54,379,172,207,0,0,0,840,544,296,325,118,207,369,308,61,317,265,52,135,118,17,11,6,5,3,1,2,168,140,28,52,43,9,15,12,3,12,12,0,0,0,0,25,19,6,51,42,9,15,12,3,12,12,0,0,0,0,24,18,6,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,796,354,442
29,572,0110,612753,0000,000000,KARNATAKA,Bangalore,VILLAGE,Bommasettihalli,Rural,75,281,139,142,27,13,14,97,47,50,0,0,0,178,100,78,103,39,64,99,76,23,92,74,18,24,22,2,34,22,12,3,2,1,31,28,3,7,2,5,1,1,0,1,0,1,0,0,0,5,1,4,7,2,5,1,1,0,1,0,1,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,63,119
29,572,0110,612754,0000,000000,KARNATAKA,Bangalore,VILLAGE,Syadamipalya,Rural,35,162,84,78,14,10,4,55,25,30,0,0,0,112,63,49,50,21,29,91,58,33,75,46,29,39,23,16,2,1,1,0,0,0,34,22,12,16,12,4,0,0,0,0,0,0,0,0,0,16,12,4,16,12,4,0,0,0,0,0,0,0,0,0,16,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,26,45
29,572,0110,612755,0000,000000,KARNATAKA,Bangalore,VILLAGE,Bethanagere,Rural,217,977,504,473,77,36,41,161,87,74,2,2,0,632,371,261,345,133,212,435,326,109,319,240,79,173,127,46,78,60,18,9,6,3,59,47,12,116,86,30,6,2,4,1,1,0,1,0,1,108,83,25,116,86,30,6,2,4,1,1,0,1,0,1,108,83,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,178,364
29,572,0110,612756,0000,000000,KARNATAKA,Bangalore,VILLAGE,Rampalya,Rural,58,233,124,109,23,16,7,3,2,1,0,0,0,167,98,69,66,26,40,156,79,77,143,71,72,116,51,65,10,5,5,0,0,0,17,15,2,13,8,5,11,6,5,0,0,0,0,0,0,2,2,0,13,8,5,11,6,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,45,32
29,572,0110,612757,0000,000000,KARNATAKA,Bangalore,VILLAGE,Huskur,Rural,324,1320,637,683,118,55,63,329,141,188,13,9,4,889,488,401,431,149,282,483,368,115,404,319,85,109,98,11,57,40,17,15,14,1,223,167,56,79,49,30,18,12,6,25,15,10,1,1,0,35,21,14,73,47,26,15,11,4,23,15,8,1,1,0,34,20,14,6,2,4,3,1,2,2,0,2,0,0,0,1,1,0,837,269,568
29,572,0110,612758,0000,000000,KARNATAKA,Bangalore,VILLAGE,"Agrahara Palya",Rural,45,225,124,101,24,17,7,0,0,0,0,0,0,170,95,75,55,29,26,89,76,13,87,74,13,64,63,1,3,0,3,0,0,0,20,11,9,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,48,88
